from_id,to_id,weight
1,425,6
1,481,1
2,280,5
2,290,6
2,80,10
2,258,8
2,102,6
3,495,7
3,239,1
4,76,2
4,492,10
4,434,10
4,330,9
4,395,7
5,172,6
5,182,1
5,26,10
6,71,8
6,341,1
7,299,2
7,403,7
8,228,3
8,232,7
8,151,7
9,408,3
9,444,6
9,334,4
9,115,4
9,21,10
9,392,5
10,75,8
10,178,5
11,125,1
11,30,9
12,153,1
12,316,3
12,174,5
12,71,8
13,224,6
13,5,10
14,60,10
14,220,4
14,512,10
14,81,3
14,488,7
14,44,6
15,146,10
15,236,6
16,146,4
16,54,7
17,107,9
17,194,2
17,429,2
17,347,1
17,170,2
18,263,9
18,83,4
19,356,4
19,94,9
19,386,2
19,446,8
20,343,5
20,277,6
20,413,9
20,46,10
21,301,3
21,334,4
21,399,7
21,124,4
21,223,10
22,267,9
22,513,8
22,306,3
23,45,3
23,513,8
24,464,10
24,437,3
24,287,3
25,218,5
25,286,4
25,32,6
25,501,10
26,374,9
26,49,1
26,308,6
26,195,6
27,265,2
27,230,10
27,124,5
27,91,5
27,55,5
27,388,9
28,65,6
28,476,4
28,52,7
28,111,8
28,140,7
29,348,6
29,254,8
29,433,5
29,445,6
30,29,9
30,143,5
30,318,7
30,397,5
30,493,7
30,273,5
31,4,4
31,308,7
31,58,10
32,27,10
32,202,9
32,338,5
32,377,7
32,391,4
33,363,2
33,247,2
33,222,8
33,343,6
33,358,7
34,376,2
34,82,2
34,295,4
34,250,3
35,215,4
35,261,4
36,245,1
36,6,7
36,194,1
37,247,4
37,403,6
38,42,6
38,361,2
38,152,1
39,33,6
39,251,4
39,353,10
39,236,9
39,17,5
40,56,6
40,381,8
40,485,1
40,394,10
40,452,8
40,66,4
41,39,5
41,329,1
42,424,1
42,513,5
42,301,9
43,363,8
43,42,9
43,54,8
43,428,10
43,251,8
44,34,5
44,369,9
44,123,7
44,331,3
44,16,8
45,119,3
45,5,9
45,113,10
45,434,3
45,199,7
45,275,8
46,281,1
46,113,10
47,411,8
47,174,6
48,171,2
48,350,6
48,2,2
49,153,1
49,77,6
49,48,10
49,138,10
50,509,3
50,202,9
50,356,1
50,346,4
50,69,5
51,140,5
51,35,2
51,383,2
51,86,2
51,348,5
52,493,3
52,295,3
52,495,4
52,215,1
53,335,5
53,428,1
54,359,10
54,221,1
54,38,1
54,338,4
55,124,10
55,397,6
55,198,7
55,285,7
55,100,5
55,408,10
56,460,8
56,50,8
57,197,4
57,18,3
57,326,9
57,495,1
58,274,9
58,285,3
58,423,3
59,465,4
59,61,6
59,440,8
59,292,10
60,383,10
60,513,4
60,56,3
60,18,1
60,467,3
61,150,6
61,181,6
61,4,5
61,18,1
61,247,10
61,232,10
62,269,10
62,104,10
62,224,9
62,442,7
62,237,2
63,40,7
63,244,8
63,143,10
63,193,2
63,307,6
63,402,3
64,218,1
64,95,7
65,244,8
65,1,9
66,217,6
66,80,3
66,167,7
67,223,10
67,347,4
67,321,2
68,285,5
68,518,7
68,178,10
69,167,5
69,130,5
69,10,10
69,245,9
69,489,1
70,471,10
70,196,6
71,180,6
71,94,4
71,312,9
71,517,8
71,444,8
72,225,2
72,115,9
72,200,3
72,251,8
72,313,1
72,444,5
73,52,10
73,500,9
73,404,5
74,405,2
74,206,4
74,410,7
74,438,10
74,357,4
74,403,2
75,330,5
75,452,6
75,126,1
76,114,9
76,110,4
77,414,4
77,490,2
77,325,7
77,437,7
77,319,1
78,464,4
78,126,4
78,201,9
78,384,10
78,137,6
78,132,10
79,147,6
79,486,7
79,495,6
80,40,4
80,285,8
80,64,2
80,140,1
80,105,6
80,413,6
81,222,4
81,416,5
81,24,7
81,237,6
81,316,2
82,18,1
82,302,4
83,303,10
83,253,2
83,121,1
83,402,7
83,41,5
84,27,5
84,364,6
85,34,6
85,2,5
85,494,5
85,286,9
85,319,10
86,61,2
86,274,4
86,15,3
87,446,2
87,221,9
88,520,10
88,422,4
88,78,9
88,456,3
89,398,3
89,399,9
89,387,4
90,514,5
90,434,8
90,348,4
90,272,10
91,458,5
91,85,2
91,145,10
91,351,2
91,185,6
92,358,6
92,445,8
92,435,1
92,89,10
92,353,5
93,466,2
93,29,2
94,49,3
94,428,9
95,292,4
95,496,6
95,356,7
95,71,4
96,458,1
96,4,3
97,208,7
97,195,4
97,234,4
97,39,9
97,343,3
97,405,1
98,386,9
98,466,6
98,283,2
99,111,2
99,311,9
99,279,9
99,281,7
99,469,9
100,22,4
100,107,7
101,344,4
101,113,4
101,468,1
101,504,7
101,5,7
101,492,10
102,212,6
102,332,6
102,23,8
102,119,9
102,36,1
102,486,6
103,419,5
103,19,6
104,366,7
104,245,1
104,70,7
104,182,7
104,410,6
104,163,1
105,6,1
105,445,4
105,191,2
105,296,5
106,73,9
106,85,10
106,50,3
106,277,5
106,458,1
106,357,6
107,305,9
107,217,2
108,247,5
108,348,8
108,135,1
109,86,4
109,458,10
109,24,10
109,162,10
110,1,5
110,268,3
110,358,6
110,173,8
111,1,6
111,425,10
111,401,5
111,353,2
111,12,10
111,213,9
112,362,10
112,216,8
112,56,3
112,364,9
112,343,2
113,515,8
113,344,7
113,335,3
114,375,6
114,45,3
114,421,10
114,244,5
115,29,6
115,277,10
115,57,7
115,315,5
115,173,1
115,376,5
116,217,3
116,172,3
116,80,8
116,7,6
117,75,6
117,247,9
117,127,5
117,284,1
117,99,10
117,5,7
118,486,6
118,128,10
118,218,6
118,495,10
118,168,6
118,289,3
119,8,10
119,273,7
119,242,3
119,402,7
119,265,8
120,76,6
120,289,9
121,170,1
121,174,9
121,474,4
121,429,4
122,515,10
122,402,10
122,285,1
122,464,5
123,104,6
123,292,2
123,291,2
123,127,1
124,514,7
124,57,9
124,520,1
125,316,6
125,361,2
125,214,4
125,46,10
125,517,2
126,414,3
126,152,1
127,146,10
127,438,9
128,329,10
128,481,3
128,490,5
128,237,6
128,69,8
129,158,4
129,310,1
129,295,4
130,123,8
130,230,6
130,211,3
130,494,8
130,389,5
131,402,1
131,485,3
131,212,3
131,410,1
132,467,1
132,424,8
132,429,4
132,331,3
132,389,3
132,328,1
133,150,5
133,95,9
133,110,1
133,460,3
133,1,8
133,53,7
134,90,2
134,512,4
134,513,6
134,325,3
134,177,10
134,376,7
135,240,4
135,474,9
135,433,10
135,357,8
135,38,1
135,51,1
136,257,8
136,197,5
137,100,4
137,114,6
138,510,2
138,185,10
138,414,7
138,82,3
138,497,8
138,427,4
139,271,9
139,454,10
139,35,7
139,170,10
139,175,7
140,420,8
140,312,4
140,419,8
140,13,8
141,518,2
141,383,7
141,298,2
141,206,2
142,297,1
142,44,1
142,255,1
142,420,1
142,198,1
142,368,3
143,130,3
143,132,2
143,48,6
143,488,10
144,466,9
144,239,6
144,492,7
144,497,9
144,478,1
144,246,10
145,204,6
145,42,10
145,501,7
146,496,7
146,384,5
146,460,10
146,143,9
146,399,3
146,474,5
147,417,5
147,60,9
147,63,9
147,233,10
147,206,5
147,393,9
148,164,8
148,416,7
149,79,10
149,399,2
149,228,3
149,199,1
149,42,2
149,301,1
150,333,2
150,298,3
150,37,5
151,342,4
151,454,9
151,78,5
151,419,7
152,333,9
152,82,7
152,6,4
153,149,9
153,240,3
154,289,9
154,314,10
154,373,8
154,422,6
154,228,6
154,455,3
155,3,7
155,392,9
155,20,10
156,198,10
156,364,10
156,92,5
156,503,10
156,320,1
157,381,6
157,472,2
158,6,6
158,452,1
158,179,5
158,148,2
158,480,4
159,240,10
159,375,8
159,361,5
159,166,6
159,369,7
160,176,7
160,220,8
161,227,9
161,53,2
162,345,7
162,231,4
162,415,9
162,250,10
162,400,5
162,484,6
163,200,1
163,93,6
163,170,6
163,16,6
163,382,3
163,421,6
164,282,9
164,219,1
164,434,7
165,457,7
165,235,7
165,237,6
165,68,7
166,73,9
166,58,7
166,516,9
166,170,5
167,486,7
167,361,3
167,104,3
167,349,2
167,252,2
167,291,5
168,78,1
168,225,6
168,406,10
168,86,6
169,266,5
169,205,4
169,486,2
169,233,8
169,346,10
170,56,5
170,277,1
170,94,6
170,512,1
170,280,6
171,411,4
171,483,8
171,379,7
171,249,10
171,472,7
171,325,4
172,351,8
172,398,8
172,422,1
173,368,7
173,183,8
173,156,4
174,435,9
174,17,6
175,404,6
175,121,9
175,106,9
176,310,7
176,8,8
176,393,6
176,276,9
176,286,1
177,303,1
177,251,6
178,419,9
178,299,5
179,444,8
179,72,2
180,364,3
180,372,5
180,421,10
181,33,9
181,231,4
181,54,4
181,498,4
182,156,2
182,404,8
183,296,7
183,293,9
184,90,5
184,112,10
185,364,9
185,335,10
185,216,9
185,104,6
186,163,7
186,180,8
187,254,10
187,123,2
187,345,2
187,259,4
187,503,8
187,377,9
188,455,9
188,149,2
189,490,10
189,196,4
189,346,9
189,211,1
189,224,1
189,229,7
190,449,4
190,1,4
190,58,4
190,462,8
191,211,9
191,420,7
191,457,6
192,226,4
192,347,8
192,116,5
192,499,6
193,196,4
193,321,1
193,400,4
193,278,7
193,148,2
194,18,8
194,109,8
194,232,6
194,286,3
194,437,5
194,44,2
195,491,5
195,234,4
195,411,3
195,87,8
195,256,10
196,101,10
196,35,2
196,335,7
197,481,2
197,357,8
197,298,6
198,272,8
198,380,3
198,215,2
198,409,2
198,244,1
198,64,1
199,472,9
199,107,8
199,474,7
200,286,9
200,231,1
200,91,3
200,141,9
201,388,4
201,196,4
201,217,3
201,449,5
201,52,7
202,498,9
202,481,4
202,411,9
202,439,1
203,50,2
203,78,8
203,246,10
203,445,2
203,382,7
203,99,10
204,286,7
204,500,9
205,80,4
205,230,2
205,86,1
206,64,3
206,411,8
206,491,1
207,19,5
207,260,6
208,343,6
208,119,7
209,340,7
209,249,8
209,411,9
209,188,2
209,488,2
209,149,1
210,272,9
210,430,9
210,424,7
210,336,8
210,121,10
211,213,9
211,25,9
211,190,4
211,297,8
211,19,2
211,180,8
212,433,1
212,366,8
212,145,2
213,7,5
213,368,9
214,9,8
214,478,6
214,331,3
215,214,8
215,13,1
215,149,1
215,496,8
215,213,1
216,41,9
216,101,1
216,269,5
216,340,1
217,386,4
217,272,3
217,160,9
218,423,8
218,492,4
218,76,10
219,431,9
219,75,2
219,36,5
219,134,4
220,459,8
220,396,9
220,285,9
220,84,1
220,271,6
221,372,4
221,356,3
221,211,8
221,116,8
221,248,4
221,363,3
222,41,4
222,287,6
223,6,5
223,226,7
224,340,2
224,106,5
224,200,5
224,172,2
225,433,3
225,341,7
226,176,4
226,19,10
227,68,10
227,337,1
227,309,6
227,73,2
227,457,4
228,515,8
228,220,5
229,511,3
229,349,5
229,248,4
229,202,7
230,414,3
230,281,6
230,141,7
231,497,4
231,365,9
231,515,1
231,463,1
231,119,3
232,83,10
232,419,7
232,133,9
233,317,9
233,80,10
234,60,4
234,360,9
234,69,7
234,4,5
235,249,9
235,482,9
235,364,10
236,16,5
236,299,10
236,191,10
236,173,9
236,223,9
236,111,2
237,250,2
237,12,4
237,57,5
237,164,4
237,45,9
238,148,6
238,260,7
238,265,8
238,34,9
239,369,7
239,250,3
239,149,7
240,58,9
240,235,1
240,18,6
240,370,5
240,270,5
241,15,8
241,267,6
241,174,9
241,269,6
242,198,5
242,176,6
242,520,6
242,185,5
242,78,2
242,99,9
243,159,7
243,87,2
243,421,5
243,182,3
243,327,5
243,257,9
244,81,8
244,340,5
244,438,1
244,162,10
245,125,3
245,49,3
245,174,6
245,238,4
245,76,2
245,168,7
246,84,8
246,431,7
247,447,6
247,339,2
247,352,4
247,363,3
247,254,6
247,132,5
248,111,8
248,328,8
248,333,5
248,428,7
249,185,3
249,215,2
250,69,8
250,484,10
250,92,9
250,515,3
250,63,5
251,67,7
251,297,2
251,56,3
251,144,4
252,516,10
252,476,8
252,113,7
252,92,3
252,301,10
252,317,4
253,48,1
253,451,3
253,397,8
253,418,9
253,406,2
254,24,1
254,186,7
254,458,10
254,43,3
254,447,9
255,234,3
255,474,3
255,157,6
256,293,3
256,407,10
256,148,10
256,444,7
256,209,3
257,131,7
257,238,10
257,57,5
258,72,6
258,260,9
258,29,7
258,41,5
258,170,9
259,437,3
259,143,3
259,19,2
260,112,5
260,427,4
261,477,2
261,95,4
262,52,9
262,159,4
263,185,2
263,271,2
263,349,9
263,77,9
263,370,3
264,43,5
264,481,1
264,12,2
264,120,8
264,105,4
264,434,5
265,447,1
265,440,4
266,233,7
266,4,8
267,319,4
267,203,3
267,458,9
267,286,5
268,500,10
268,461,10
268,67,7
269,109,7
269,32,2
269,17,4
269,298,10
269,478,9
269,299,5
270,400,10
270,36,10
270,64,4
270,495,9
271,116,4
271,443,3
271,430,8
271,231,1
271,387,1
271,312,9
272,226,5
272,443,9
272,46,1
273,396,7
273,431,7
273,87,8
273,503,3
273,267,2
273,439,7
274,380,5
274,497,1
274,377,1
274,248,4
274,411,1
275,147,7
275,5,9
275,79,10
276,407,7
276,192,8
276,344,4
276,189,8
277,515,10
278,168,10
278,53,10
278,508,10
278,145,6
278,403,6
279,89,4
279,383,7
279,395,4
279,520,6
279,361,4
280,502,5
280,411,1
280,348,9
280,13,9
280,71,7
281,224,4
281,21,8
281,504,1
282,353,10
282,411,2
282,231,4
282,503,1
282,74,8
283,40,4
283,246,3
283,398,7
284,440,7
284,54,4
285,509,6
285,378,7
285,125,5
285,443,2
285,224,10
285,184,3
286,506,2
286,244,6
286,326,10
286,114,8
286,162,5
286,64,3
287,268,10
287,207,7
287,464,3
287,470,6
288,343,7
288,278,3
289,149,1
289,177,3
289,257,4
290,173,5
290,443,7
290,403,5
290,265,10
291,161,9
291,151,2
292,418,10
292,324,8
292,270,10
293,416,6
293,214,6
293,148,6
293,172,5
294,215,10
294,270,3
294,428,5
295,119,10
295,18,2
296,255,8
296,322,4
296,200,8
296,55,5
296,33,6
296,73,1
297,287,7
297,498,7
297,418,2
297,512,2
297,190,9
298,216,8
298,376,1
298,22,1
298,404,3
298,384,9
299,259,1
299,497,9
299,283,1
299,99,4
299,292,6
300,274,9
300,179,9
300,59,9
300,510,8
300,368,10
300,419,9
301,386,7
301,2,5
301,313,4
302,249,2
302,511,6
302,351,1
303,141,5
303,165,7
303,33,2
304,179,1
304,204,3
304,225,10
304,305,1
305,123,5
305,140,3
305,474,7
305,365,10
306,431,6
306,72,1
306,227,7
306,368,6
306,296,10
306,499,2
307,20,5
307,65,1
307,114,5
307,485,4
307,503,2
308,425,9
308,310,1
309,408,2
309,217,10
309,357,9
309,301,7
309,18,5
310,368,3
310,84,2
310,331,6
310,102,6
311,245,2
311,352,2
311,14,3
311,284,1
311,364,1
312,109,3
312,249,2
313,234,9
313,404,9
313,405,4
313,430,5
313,77,8
314,386,2
314,457,10
314,510,10
314,83,3
315,207,6
315,313,10
315,174,8
315,168,3
315,155,1
316,362,4
316,34,2
316,233,6
317,236,6
317,295,5
318,12,10
318,316,5
318,102,5
318,226,7
318,127,4
318,209,4
319,174,5
319,368,6
319,461,7
320,343,6
320,335,8
321,126,4
321,176,8
321,91,9
321,460,3
321,55,10
321,183,9
322,360,5
322,8,3
322,191,5
322,112,8
323,334,5
323,164,8
324,477,1
324,237,10
325,516,3
325,175,10
325,79,4
326,396,6
326,152,1
327,117,6
327,448,8
327,210,5
328,280,10
328,366,7
328,41,9
328,514,4
328,119,2
328,225,4
329,458,5
329,517,1
329,91,9
329,189,6
330,23,7
330,300,9
330,411,9
330,73,9
331,112,2
331,412,9
331,247,3
331,321,8
331,418,10
332,410,5
332,132,8
332,289,1
332,144,2
332,209,10
332,422,5
333,191,10
333,245,4
333,413,2
334,278,6
334,430,2
335,470,4
335,446,3
336,470,5
336,6,6
336,301,2
336,156,3
336,203,6
337,481,8
337,427,1
337,426,5
337,111,8
338,486,5
338,96,4
338,227,4
338,432,6
339,90,6
339,385,2
339,507,5
339,233,4
339,379,1
340,190,10
340,194,6
340,238,6
340,499,3
340,403,5
341,329,9
341,43,5
341,40,4
341,178,3
342,357,6
342,224,8
342,48,8
342,175,6
342,369,7
343,409,5
343,116,6
343,202,2
343,5,6
343,164,3
344,354,4
344,309,2
344,288,6
345,351,7
345,21,10
345,130,8
