id,name,location,age,interest,followers
1,Vikram_1,Kolkata,32,Gaming,4921
2,Tanya_2,Bangalore,42,Food,987
3,Ajay_3,Delhi,40,Technology,3687
4,Rahul_4,Kolkata,35,Art,1101
5,Rekha_5,Jaipur,47,Travel,3790
6,Pooja_6,Jaipur,43,Science,538
7,Suresh_7,Bangalore,21,Art,368
8,Yash_8,Mumbai,22,Gaming,579
9,Aditya_9,Pune,33,Finance,1845
10,Meera_10,Pune,27,Food,226
11,Akash_11,Kolkata,37,Technology,3613
12,Riya_12,Ahmedabad,32,Food,3149
13,Arjun_13,Mumbai,24,Technology,1667
14,Kavya_14,Delhi,29,Technology,1870
15,Kavya_15,Ahmedabad,37,Food,4293
16,Kavya_16,Delhi,46,Finance,3365
17,Vikram_17,Jodhpur,29,Gaming,4973
18,Arjun_18,Bangalore,23,Fashion,4109
19,Ananya_19,Delhi,39,Art,925
20,Sneha_20,Chennai,37,Science,1943
21,Vishal_21,Pune,23,Finance,3776
22,Divya_22,Ahmedabad,55,Finance,897
23,Nisha_23,Mumbai,19,Music,2312
24,Meera_24,Ahmedabad,25,Science,2236
25,Shweta_25,Mumbai,40,Finance,1990
26,Sunita_26,Delhi,19,Sports,3484
27,Pallavi_27,Kolkata,52,Gaming,4441
28,Yash_28,Kolkata,18,Fashion,1554
29,Tanya_29,Hyderabad,45,Art,3543
30,Raj_30,Pune,50,Fashion,3212
31,Ajay_31,Jodhpur,40,Gaming,1309
32,Shruti_32,Bangalore,42,Travel,999
33,Deepak_33,Bangalore,19,Travel,726
34,Ravi_34,Hyderabad,36,Fashion,2753
35,Ananya_35,Pune,31,Fashion,1290
36,Rekha_36,Jodhpur,38,Gaming,2720
37,Harsh_37,Mumbai,48,Music,1507
38,Rahul_38,Jaipur,18,Technology,620
39,Vikram_39,Jodhpur,40,Sports,4679
40,Divya_40,Chennai,48,Music,4813
41,Vishal_41,Jaipur,18,Food,1839
42,Amit_42,Kolkata,35,Science,2463
43,Vikram_43,Chennai,48,Fashion,4992
44,Amit_44,Mumbai,43,Technology,1230
45,Karan_45,Bangalore,25,Science,2006
46,Divya_46,Ahmedabad,34,Music,1614
47,Simran_47,Jaipur,55,Finance,2110
48,Priya_48,Bangalore,32,Finance,1969
49,Shruti_49,Jodhpur,44,Travel,3406
50,Monika_50,Ahmedabad,40,Food,2439
51,Puja_51,Chennai,20,Art,2149
52,Siddharth_52,Jodhpur,21,Travel,4694
53,Rohan_53,Jodhpur,44,Food,2706
54,Shruti_54,Ahmedabad,44,Finance,2244
55,Sneha_55,Jodhpur,49,Finance,4257
56,Priya_56,Bangalore,34,Finance,4168
57,Riya_57,Jaipur,22,Travel,3656
58,Siddharth_58,Hyderabad,22,Gaming,2052
59,Dev_59,Bangalore,37,Food,907
60,Pallavi_60,Pune,28,Technology,2816
61,Dev_61,Delhi,23,Sports,2826
62,Harsh_62,Bangalore,39,Music,3898
63,Nisha_63,Ahmedabad,54,Art,1985
64,Ananya_64,Delhi,32,Fashion,1849
65,Sunita_65,Delhi,41,Music,2045
66,Sneha_66,Delhi,21,Sports,4049
67,Aarav_67,Hyderabad,40,Science,3524
68,Nisha_68,Bangalore,21,Fashion,1178
69,Karan_69,Chennai,49,Fashion,4942
70,Vishal_70,Jodhpur,19,Music,4671
71,Anjali_71,Jaipur,37,Gaming,749
72,Vikram_72,Chennai,46,Music,2499
73,Neha_73,Chennai,47,Technology,1262
74,Akash_74,Chennai,46,Music,2150
75,Meera_75,Kolkata,55,Finance,2557
76,Priya_76,Kolkata,35,Food,962
77,Nisha_77,Chennai,20,Music,1895
78,Nisha_78,Kolkata,34,Technology,1512
79,Siddharth_79,Jodhpur,41,Finance,4264
80,Riya_80,Mumbai,33,Travel,4799
81,Ananya_81,Bangalore,32,Fashion,549
82,Riya_82,Pune,37,Travel,946
83,Arjun_83,Mumbai,30,Finance,2066
84,Manish_84,Jaipur,47,Travel,4516
85,Kavya_85,Delhi,32,Travel,2302
86,Kunal_86,Delhi,42,Finance,2450
87,Ravi_87,Jaipur,51,Gaming,1457
88,Sunita_88,Ahmedabad,20,Science,1210
89,Ravi_89,Jaipur,49,Fashion,898
90,Karan_90,Bangalore,44,Finance,2955
91,Puja_91,Ahmedabad,43,Art,4788
92,Siddharth_92,Chennai,48,Finance,4228
